Passing Player,Pass Recipient,Number of passes
Granit Xhaka,Florian Wirtz,193
Alejandro Grimaldo García,Florian Wirtz,181
Granit Xhaka,Alejandro Grimaldo García,173
Exequiel Alejandro Palacios,Granit Xhaka,154
Florian Wirtz,Alejandro Grimaldo García,138
Florian Wirtz,Granit Xhaka,131
Alejandro Grimaldo García,Granit Xhaka,128
Granit Xhaka,Exequiel Alejandro Palacios,125
Exequiel Alejandro Palacios,Florian Wirtz,83
Edmond Fayçal Tapsoba,Granit Xhaka,83
Granit Xhaka,Jonas Hofmann,73
Florian Wirtz,Jeremie Frimpong,73
Granit Xhaka,Edmond Fayçal Tapsoba,70
Florian Wirtz,Victor Okoh Boniface,68
Granit Xhaka,Jeremie Frimpong,65
Edmond Fayçal Tapsoba,Exequiel Alejandro Palacios,63
Alejandro Grimaldo García,Edmond Fayçal Tapsoba,62
Alejandro Grimaldo García,Victor Okoh Boniface,60
Jonathan Tah,Granit Xhaka,60
Florian Wirtz,Exequiel Alejandro Palacios,59
Jeremie Frimpong,Granit Xhaka,56
Exequiel Alejandro Palacios,Jonas Hofmann,55
Jonathan Tah,Edmond Fayçal Tapsoba,55
Edmond Fayçal Tapsoba,Alejandro Grimaldo García,53
Jonas Hofmann,Jeremie Frimpong,51
Jonas Hofmann,Exequiel Alejandro Palacios,51
Jonathan Tah,Exequiel Alejandro Palacios,50
Jeremie Frimpong,Jonas Hofmann,50
Granit Xhaka,Jonathan Tah,49
Edmond Fayçal Tapsoba,Jonathan Tah,48
Granit Xhaka,Victor Okoh Boniface,48
Alejandro Grimaldo García,Exequiel Alejandro Palacios,47
Florian Wirtz,Jonas Hofmann,47
Alejandro Grimaldo García,Jonas Hofmann,47
Jonas Hofmann,Granit Xhaka,46
Jonathan Tah,Odilon Kossonou,46
Jonas Hofmann,Florian Wirtz,45
Exequiel Alejandro Palacios,Edmond Fayçal Tapsoba,45
Odilon Kossonou,Granit Xhaka,44
Odilon Kossonou,Jeremie Frimpong,44
Exequiel Alejandro Palacios,Alejandro Grimaldo García,43
Exequiel Alejandro Palacios,Jeremie Frimpong,41
Jeremie Frimpong,Florian Wirtz,41
Exequiel Alejandro Palacios,Victor Okoh Boniface,40
Jeremie Frimpong,Victor Okoh Boniface,39
Jonas Hofmann,Victor Okoh Boniface,38
Odilon Kossonou,Jonathan Tah,36
Odilon Kossonou,Exequiel Alejandro Palacios,35
Victor Okoh Boniface,Florian Wirtz,35
Jeremie Frimpong,Exequiel Alejandro Palacios,35
Exequiel Alejandro Palacios,Jonathan Tah,34
Jeremie Frimpong,Odilon Kossonou,31
Granit Xhaka,Odilon Kossonou,30
Exequiel Alejandro Palacios,Odilon Kossonou,29
Edmond Fayçal Tapsoba,Florian Wirtz,29
Edmond Fayçal Tapsoba,Jonas Hofmann,28
Edmond Fayçal Tapsoba,Victor Okoh Boniface,28
Odilon Kossonou,Jonas Hofmann,26
Jonas Hofmann,Jonathan Tah,24
Odilon Kossonou,Edmond Fayçal Tapsoba,23
Victor Okoh Boniface,Alejandro Grimaldo García,23
Jonas Hofmann,Odilon Kossonou,23
Victor Okoh Boniface,Jonas Hofmann,23
Jonathan Tah,Jonas Hofmann,22
Jonas Hofmann,Alejandro Grimaldo García,22
Victor Okoh Boniface,Exequiel Alejandro Palacios,22
Victor Okoh Boniface,Jeremie Frimpong,20
Victor Okoh Boniface,Granit Xhaka,18
Jeremie Frimpong,Alejandro Grimaldo García,17
Jonas Hofmann,Edmond Fayçal Tapsoba,17
Lukáš Hrádecký,Victor Okoh Boniface,17
Alejandro Grimaldo García,Jeremie Frimpong,16
Jonathan Tah,Florian Wirtz,14
Lukáš Hrádecký,Edmond Fayçal Tapsoba,13
Edmond Fayçal Tapsoba,Odilon Kossonou,12
Florian Wirtz,Edmond Fayçal Tapsoba,12
Edmond Fayçal Tapsoba,Lukáš Hrádecký,11
Jonathan Tah,Jeremie Frimpong,10
Odilon Kossonou,Florian Wirtz,9
Alejandro Grimaldo García,Jonathan Tah,8
Odilon Kossonou,Victor Okoh Boniface,8
Jonathan Tah,Alejandro Grimaldo García,8
Florian Wirtz,Jonathan Tah,7
Jonathan Tah,Victor Okoh Boniface,6
Victor Okoh Boniface,Edmond Fayçal Tapsoba,6
Jeremie Frimpong,Jonathan Tah,6
Odilon Kossonou,Alejandro Grimaldo García,6
Victor Okoh Boniface,Odilon Kossonou,5
Jonathan Tah,Lukáš Hrádecký,5
Edmond Fayçal Tapsoba,Jeremie Frimpong,4
Lukáš Hrádecký,Jonathan Tah,4
Lukáš Hrádecký,Granit Xhaka,4
Granit Xhaka,Lukáš Hrádecký,4
Florian Wirtz,Odilon Kossonou,4
Lukáš Hrádecký,Odilon Kossonou,3
Odilon Kossonou,Lukáš Hrádecký,3
Lukáš Hrádecký,Florian Wirtz,3
Alejandro Grimaldo García,Lukáš Hrádecký,3
Lukáš Hrádecký,Exequiel Alejandro Palacios,2
Lukáš Hrádecký,Alejandro Grimaldo García,2
Alejandro Grimaldo García,Odilon Kossonou,2
Jeremie Frimpong,Lukáš Hrádecký,2
Lukáš Hrádecký,Jonas Hofmann,1
Jeremie Frimpong,Edmond Fayçal Tapsoba,1
